# Re Im
# Beam Num: 0
# FFT Num: 0
0.000000e+00 0.000000e+00
# FFT Num: 2
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 3
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 4
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 5
0.000000e+00 2.400377e+04
0.000000e+00 2.400377e+04
1.702360e+04 8.051562e+03
5.577460e+03 -4.577304e+03
6.338088e+02 2.530307e+03
5.028128e+03 1.000157e+03
# FFT Num: 6
0.000000e+00 1.600251e+04
0.000000e+00 1.600251e+04
9.679253e+03 1.067941e+04
1.015476e+04 1.000157e+03
3.871334e+03 -2.871177e+03
0.000000e+00 0.000000e+00
# FFT Num: 7
0.000000e+00 8.001256e+03
0.000000e+00 8.001256e+03
2.627848e+03 7.344344e+03
4.577304e+03 5.577460e+03
5.401484e+03 3.237525e+03
5.028128e+03 1.000157e+03
# Beam Num: 17
# FFT Num: 0
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 1
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 2
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 3
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 4
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 5
0.000000e+00 2.400377e+04
0.000000e+00 2.400377e+04
1.702360e+04 8.051562e+03
5.577460e+03 -4.577304e+03
6.338088e+02 2.530307e+03
5.028128e+03 1.000157e+03
# FFT Num: 6
0.000000e+00 1.600251e+04
0.000000e+00 1.600251e+04
9.679253e+03 1.067941e+04
1.015476e+04 1.000157e+03
3.871334e+03 -2.871177e+03
0.000000e+00 0.000000e+00
# FFT Num: 7
0.000000e+00 8.001256e+03
0.000000e+00 8.001256e+03
2.627848e+03 7.344344e+03
4.577304e+03 5.577460e+03
5.401484e+03 3.237525e+03
5.028128e+03 1.000157e+03
# Beam Num: 18
# FFT Num: 0
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 1
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 2
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 3
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 4
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 5
0.000000e+00 2.400377e+04
0.000000e+00 2.400377e+04
1.702360e+04 8.051562e+03
5.577460e+03 -4.577304e+03
6.338088e+02 2.530307e+03
5.028128e+03 1.000157e+03
# FFT Num: 6
0.000000e+00 1.600251e+04
0.000000e+00 1.600251e+04
9.679253e+03 1.067941e+04
1.015476e+04 1.000157e+03
3.871334e+03 -2.871177e+03
0.000000e+00 0.000000e+00
# FFT Num: 7
0.000000e+00 8.001256e+03
0.000000e+00 8.001256e+03
2.627848e+03 7.344344e+03
4.577304e+03 5.577460e+03
5.401484e+03 3.237525e+03
5.028128e+03 1.000157e+03
# Beam Num: 19
# FFT Num: 0
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 1
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 2
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 3
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 4
0.000000e+00 3.200502e+04
0.000000e+00 3.200502e+04
2.035866e+04 1.000157e+03
0.000000e+00 0.000000e+00
6.742511e+03 1.000157e+03
0.000000e+00 0.000000e+00
# FFT Num: 5
0.000000e+00 2.400377e+04
0.000000e+00 2.400377e+04
1.702360e+04 8.051562e+03
5.577460e+03 -4.577304e+03
6.338088e+02 2.530307e+03
5.028128e+03 1.000157e+03
# FFT Num: 6
0.000000e+00 1.600251e+04
0.000000e+00 1.600251e+04
9.679253e+03 1.067941e+04
1.015476e+04 1.000157e+03
3.871334e+03 -2.871177e+03
0.000000e+00 0.000000e+00
# FFT Num: 7
0.000000e+00 8.001256e+03
0.000000e+00 8.001256e+03
2.627848e+03 7.344344e+03
4.577304e+03 5.577460e+03
5.401484e+03 3.237525e+03
5.028128e+03 1.000157e+03
